"Country","Date","Policy Category","Policy Type","Policy Value","Policy Value Description","Policy Value Description KFF","Income","Region"
"Kosovo",2020-04-01,"Economic Policies","Debt contract relief",2,"Broad debt/contract relief","Broad support","Upper middle income",NA
"El Salvador",2020-04-01,"Economic Policies","Income support",1,"Government is replacing less than 50% of lost income","Some support","Lower middle income","Region of the Americas"
"Papua New Guinea",2020-04-02,"Economic Policies","Debt contract relief",2,"Broad debt/contract relief","Broad support","Lower middle income","Western Pacific Region"
"Guyana",2020-04-03,"Closure Policies","Cancel public events",2,"Required cancelling of public events","Require cancelling","Upper middle income","Region of the Americas"
"Honduras",2020-04-03,"Economic Policies","Debt contract relief",2,"Broad debt/contract relief","Broad support","Lower middle income","Region of the Americas"
"Moldova",2020-04-03,"Economic Policies","Income support",1,"Government is replacing less than 50% of lost income","Some support","Lower middle income","European Region"
"Moldova",2020-04-03,"Economic Policies","Debt contract relief",1,"Narrow relief","Narrow support","Lower middle income","European Region"
"Italy",2020-04-04,"Health Policies","Facial Coverings",4,"Required facial covering outside the home at all times","Required to wear a facial covering at all times outside the home","High income","European Region"
"Belarus",2020-04-06,"Closure Policies","Cancel public events",1,"Recommended cancelling of public events","Recommend cancelling","Upper middle income","European Region"
"Germany",2020-04-06,"Health Policies","Facial Coverings",2,"Required facial covering in some public settings","Recommended/Partial requirement","High income","European Region"
"Ecuador",2020-04-06,"Health Policies","Facial Coverings",3,"Required facial covering in all public settings","Recommended/Partial requirement","Upper middle income","Region of the Americas"
"Indonesia",2020-04-06,"Health Policies","Facial Coverings",4,"Required facial covering outside the home at all times","Required to wear a facial covering at all times outside the home","Upper middle income","South-East Asia Region"
"Malaysia",2020-04-06,"Economic Policies","Income support",1,"Government is replacing less than 50% of lost income","Some support","Upper middle income","Western Pacific Region"
"Colombia",2020-04-07,"Economic Policies","Income support",1,"Government is replacing less than 50% of lost income","Some support","Upper middle income","Region of the Americas"
"Indonesia",2020-04-07,"Closure Policies","Restrictions on gatherings",4,"Restrictions on gatherings of 10 people or fewer","Full restriction","Upper middle income","South-East Asia Region"
"Belarus",2020-04-08,"Closure Policies","Restrictions on gatherings",4,"Restrictions on gatherings of 10 people or fewer","Full restriction","Upper middle income","European Region"
"Bahrain",2020-04-09,"Closure Policies","Workplace closing",2,"Required closing for some sectors","Partial closing","High income","Eastern Mediterranean Region"
"Costa Rica",2020-04-09,"Economic Policies","Income support",1,"Government is replacing less than 50% of lost income","Some support","Upper middle income","Region of the Americas"
"Cuba",2020-04-09,"Economic Policies","Debt contract relief",2,"Broad debt/contract relief","Broad support","Upper middle income","Region of the Americas"
"India",2020-04-09,"Health Policies","Facial Coverings",4,"Required facial covering outside the home at all times","Required to wear a facial covering at all times outside the home","Lower middle income","South-East Asia Region"
"Jamaica",2020-04-09,"Economic Policies","Income support",1,"Government is replacing less than 50% of lost income","Some support","Upper middle income","Region of the Americas"
"Pakistan",2020-04-09,"Economic Policies","Income support",1,"Government is replacing less than 50% of lost income","Some support","Lower middle income","Eastern Mediterranean Region"
"Bhutan",2020-04-10,"Economic Policies","Debt contract relief",2,"Broad debt/contract relief","Broad support","Lower middle income","South-East Asia Region"
"Gabon",2020-04-10,"Closure Policies","Restrictions on internal movement",2,"Internal movement restrictions in place","Internal movement restrictions in place","Upper middle income","African Region"
"Brazil",2020-04-11,"Health Policies","Facial Coverings",4,"Required facial covering outside the home at all times","Required to wear a facial covering at all times outside the home","Upper middle income","Region of the Americas"
"China",2020-04-11,"Economic Policies","Income support",1,"Government is replacing less than 50% of lost income","Some support","Upper middle income","Western Pacific Region"
"Saudi Arabia",2020-04-11,"Economic Policies","Debt contract relief",1,"Narrow relief","Narrow support","High income","Eastern Mediterranean Region"
"Tonga",2020-04-12,"Closure Policies","Restrictions on internal movement",0,"No measures","No restriction","Upper middle income","Western Pacific Region"
"Cameroon",2020-04-13,"Health Policies","Facial Coverings",3,"Required facial covering in all public settings","Recommended/Partial requirement","Lower middle income","African Region"
"Mongolia",2020-04-13,"Economic Policies","Debt contract relief",2,"Broad debt/contract relief","Broad support","Lower middle income","Western Pacific Region"
"Argentina",2020-04-14,"Health Policies","Facial Coverings",3,"Required facial covering in all public settings","Recommended/Partial requirement","Upper middle income","Region of the Americas"
"Czechia",2020-04-14,"Closure Policies","International travel controls",3,"Ban arrivals from some regions","Partial restriction","High income","European Region"
"Singapore",2020-04-14,"Health Policies","Facial Coverings",4,"Required facial covering outside the home at all times","Required to wear a facial covering at all times outside the home","High income","Western Pacific Region"
"Lebanon",2020-04-15,"Economic Policies","Debt contract relief",2,"Broad debt/contract relief","Broad support","Upper middle income","Eastern Mediterranean Region"
"Azerbaijan",2020-04-16,"Closure Policies","International travel controls",4,"Ban arrivals from all regions/Border closure","Full restriction","Upper middle income","European Region"
"Mexico",2020-04-17,"Health Policies","Facial Coverings",4,"Required facial covering outside the home at all times","Required to wear a facial covering at all times outside the home","Upper middle income","Region of the Americas"
"Albania",2020-04-18,"Closure Policies","Restrictions on gatherings",4,"Restrictions on gatherings of 10 people or fewer","Full restriction","Upper middle income","European Region"
"Ghana",2020-04-19,"Closure Policies","Restrictions on internal movement",0,"No measures","No restriction","Lower middle income","African Region"
"Belarus",2020-04-20,"Closure Policies","School closing",0,"No measures","No restriction","Upper middle income","European Region"
"Jamaica",2020-04-20,"Health Policies","Facial Coverings",3,"Required facial covering in all public settings","Recommended/Partial requirement","Upper middle income","Region of the Americas"
"Singapore",2020-04-20,"Economic Policies","Debt contract relief",2,"Broad debt/contract relief","Broad support","High income","Western Pacific Region"
"Guatemala",2020-04-21,"Economic Policies","Debt contract relief",2,"Broad debt/contract relief","Broad support","Upper middle income","Region of the Americas"
"South Africa",2020-04-21,"Economic Policies","Income support",1,"Government is replacing less than 50% of lost income","Some support","Upper middle income","African Region"
"Sierra Leone",2020-04-22,"Health Policies","Facial Coverings",3,"Required facial covering in all public settings","Recommended/Partial requirement","Low income","African Region"
"Syria",2020-04-22,"Closure Policies","Restrictions on internal movement",2,"Internal movement restrictions in place","Internal movement restrictions in place","Low income","Eastern Mediterranean Region"
"Algeria",2020-04-24,"Closure Policies","Stay at home requirements",2,"Required not leaving house with exceptions","Require not leaving house with exceptions","Lower middle income","African Region"
"Liberia",2020-04-24,"Health Policies","Facial Coverings",3,"Required facial covering in all public settings","Recommended/Partial requirement","Low income","African Region"
